S/N,Date,Branch,Pizza Type,Quantity,Time,Time Range,Price
1,42349,Abuja,Meatzaa,5,0.333344907407407,Before 9:00am,8
2,42352,Ibadan,Extravaganza,4,0.333356481481482,Before 9:00am,8
3,42342,Ikoyi,BBQ Chicken,5,0.33337962962963,Before 9:00am,16
4,42352,Ibadan,Extravaganza,1,0.333414351851852,Before 9:00am,8
5,42345,Lekki,Meatzaa,4,0.333425925925926,Before 9:00am,8
6,42346,Surulere,Hot Veggie,2,0.33349537037037,Before 9:00am,16
7,42342,Abuja,BBQ Philly Steak,5,0.333564814814815,Before 9:00am,16
8,42345,Ibadan,Chicken Feast,1,0.333564814814815,Before 9:00am,8
9,42345,Lekki,Meatzaa,3,0.333587962962963,Before 9:00am,8
10,42342,Abuja,Chicken Suya,5,0.333622685185185,Before 9:00am,16
11,42350,Ikoyi,Chicken Legend,5,0.333634259259259,Before 9:00am,8
12,42347,Lekki,BBQ Philly Steak,4,0.333645833333333,Before 9:00am,16
13,42353,Lekki,Chicken Suya,2,0.333668981481482,Before 9:00am,16
14,42349,Abuja,Chicken Feast,5,0.333715277777778,Before 9:00am,8
15,42343,Surulere,Chicken Feast,4,0.333715277777778,Before 9:00am,8
16,42345,Ikoyi,Beef Suya,5,0.333726851851852,Before 9:00am,12
17,42346,Lekki,Chicken Feast,5,0.333738425925926,Before 9:00am,8
18,42352,Ikoyi,Hot Veggie,5,0.333738425925926,Before 9:00am,16
19,42349,Surulere,Meatzaa,5,0.333738425925926,Before 9:00am,8
20,42349,Abuja,Meatzaa,2,0.33375,Before 9:00am,8
21,42344,Ikoyi,Margarita,3,0.333761574074074,Before 9:00am,16
22,42352,Surulere,Italiano,5,0.333796296296296,Before 9:00am,12
23,42352,Lekki,Hot Veggie,2,0.333854166666667,Before 9:00am,16
24,42346,Ibadan,Pepperoni Suya,3,0.333854166666667,Before 9:00am,12
25,42347,Ikoyi,Veggie Supreme,5,0.333888888888889,Before 9:00am,12
26,42342,Abuja,Hot Pepperoni Feast,3,0.333900462962963,Before 9:00am,16
27,42347,Ibadan,Chicken Legend,4,0.333900462962963,Before 9:00am,8
28,42341,Abuja,BBQ Philly Steak,1,0.333935185185185,Before 9:00am,16
29,42352,Ibadan,Hot Pepperoni Feast,2,0.333981481481481,Before 9:00am,16
30,42344,Ikoyi,Chicken Bali,4,0.333981481481481,Before 9:00am,8
31,42341,Ikoyi,Chicken Feast,3,0.333993055555556,Before 9:00am,8
32,42343,Ibadan,Veggie Supreme,2,0.333993055555556,Before 9:00am,12
33,42351,Lekki,Extravaganza,4,0.334027777777778,Before 9:00am,8
34,42351,Abuja,Pepperoni Suya,4,0.334039351851852,Before 9:00am,12
35,42342,Lekki,Veggie Supreme,2,0.334050925925926,Before 9:00am,12
36,42346,Ibadan,Extravaganza,2,0.33412037037037,Before 9:00am,8
37,42349,Ikoyi,Italiano,2,0.334189814814815,Before 9:00am,12
38,42347,Ikoyi,BBQ Philly Steak,2,0.334212962962963,Before 9:00am,16
