SecurityCode,CompanyName,Industry,Type,Quarter,DateBegin,DateEnd,Description,OtherIncome,TotalIncome,Expenditure,CostofMaterialsConsumed,FinanceCosts,OtherExpenses,ChangesInInventoriesofFinishedGoodsWorkinprogressandStockintrade,EmployeeBenefitExpense,DepreciationAndAmortisationExpense,ProfitAfterInterestbutbeforeExceptionalItems,ProfitLossfromOrdinaryActivitiesbeforeTax,Tax,NetProfitLossfromOrdinaryActivitiesafterTax,NetProfit,Currenttax,NextStockDeviation,Deferredtax,ProfitfromOperationsbeforeOtherIncomeInterestandExceptionalItems,ProfitbeforeInterestandExceptionalItems,Interest,OtherOperatingIncome,Purchasesofstockintrade
500032,Bajaj Hindusthan Sugar Limited,Sugar,Un-Audited,Q4 2019,01-Oct-19,31-Dec-19,Amount (Rs. million),25.40,17265.30,-17728.80,-17737.90,-769.60,-1287.60,3324.40,-714.10,-544.00,-463.50,-463.50,0.00,-463.50,,,5.57,,,,,,
500032,Bajaj Hindusthan Sugar Limited,Sugar,Un-Audited,Q3 2019,01-Jul-19,30-Sep-19,Amount (Rs. million),18.70,14292.80,-15191.00,-52.30,-783.90,-873.70,-12315.60,-621.20,-544.30,-898.20,-898.20,0.00,-898.20,,,12.45,,,,,,
500032,Bajaj Hindusthan Sugar Limited,Sugar,Un-Audited,Q2 2019,01-Apr-19,30-Jun-19,Amount (Rs. million),48.60,16594.80,-16789.80,-6562.00,-792.80,-1117.50,-7117.00,-662.30,-538.20,,-195.00,0.00,-195.00,-195.00,,17.95,,,,,,
500032,Bajaj Hindusthan Sugar Limited,Sugar,Audited,Q1 2019,01-Jan-19,31-Mar-19,Amount (Rs. million),371.90,21640.50,-19201.50,-29374.30,-761.50,-1388.60,13788.20,-883.70,-581.60,2439.00,2439.00,23.10,2462.10,2462.10,23.10,6.27,,,,,,
500032,Bajaj Hindusthan Sugar Limited,Sugar,Un-Audited,Q4 2018,01-Oct-18,31-Dec-18,Amount (Rs. million),390.80,17094.20,-18772.80,-17782.40,-765.10,-1424.50,3405.90,-675.70,-550.00,-1678.60,-1678.60,,-1678.60,-1678.60,,5.34,,,,,,
500032,Bajaj Hindusthan Sugar Limited,Sugar,Un-Audited,Q3 2018,01-Jul-18,30-Sep-18,Amount (Rs. million),446.10,15949.90,-15698.80,-31.90,-824.50,-918.70,-13488.40,-575.60,-493.60,251.10,251.10,-0.30,250.80,250.80,-0.30,3.6900000000000004,,,,,,
500032,Bajaj Hindusthan Sugar Limited,Sugar,Un-Audited,Q2 2018,01-Apr-18,30-Jun-18,Amount (Rs. million),427.30,14989.70,-16664.60,-9397.70,-866.70,-876.60,-4769.90,-612.70,-488.10,-1674.90,-1674.90,-0.20,-1675.10,-1675.10,,4.57,,,,,,
500032,Bajaj Hindusthan Sugar Limited,Sugar,Audited,Q1 2018,01-Jan-18,31-Mar-18,Amount (Rs. million),401.40,16063.40,-17603.00,-29148.90,-814.80,-1529.10,15913.10,-881.20,-469.80,-1539.60,-1539.60,-38.10,-1577.70,-1577.70,,4.8,,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q4 2019,01-Oct-19,31-Dec-19,Amount (Rs. million),68.20,12026.00,-11181.00,-9006.80,-75.50,-762.00,-427.50,-659.40,-249.80,,845.00,-152.00,693.00,725.00,-147.70,170.35,-4.30,,,,,
500038,BALRAMPUR CHINI MILLS LTD.,Sugar,Un-Audited,Q3 2019,01-Jul-19,30-Sep-19,Amount (Rs. million),56.70,8626.40,-7438.80,-185.00,-166.40,-586.60,-5675.40,-577.20,-248.20,,1187.60,-216.50,971.10,998.00,-152.90,325.6,-63.60,,,,,
