,Question_Links,Views,Upvotes,Spaces,Questions,Answers
0,https://www.quora.com/Im-a-high-school-student-and-Im-interested-in-AI-Where-do-I-start-looking-into-it/answer/Kamal-Raj-17,205,–,www.quora.com,Im-a-high-school-student-and-Im-interested-in-AI-Where-do-I-start-looking-into-it,"Start by learning to program and problem solving using computer languages.
AI is, what you call a self programming program. You give the AI program the data, it will comes out with its own model program to solve the problem.
If that is correct then, you as a human first need to know how to program, and check whether AI has programmed itself correctly. If you find an error in AI behaviour, then you jump in and correct the relevant code.
Learn problem solving by posting your code to online judges. I have written about it in another question. Search for it, you will get some good idea.
Language easiest to pickup currently are, Python, R and recently Julia is becoming popular. Once you master one language then think about C++
have good time learnin."
1,https://www.quora.com/How-can-learning-to-program-make-a-difference-in-your-life/answer/Kamal-Raj-17,20,–,www.quora.com,How-can-learning-to-program-make-a-difference-in-your-life,"Try coding one simplest program on a competitive programming platform like DMOJ. You will understand how life changing it can be. You will know everything about the logic, the syntax will be correct, the code you have typed will be prefect and yet two or three test cases fail.
Hours together is spent to not solve the problem but to learn the problem and take care of every mode of failure that you program can undergo. When you spend that muh time and get the solution correct, means the solution will for sure work in real world. That is how real world excellent programs are written. Excellent programmers can become good leaders, solely for their logical thinking and their thoroughness.
Many who intuitively solve the problem think such level of detail is unwanted. when their solution fails in real world they blame the nature or others.Seldom do they hold themselves responsible. They loose their credibility, get demoted and even loose their jobs.
I have been one of those intuitive thinkers. Now with training in programming I realise how important is Logic along with knowledge about the world and the subject. In fact the subject knowledge is useful to test the program than actually programming. Only the expert can come up with extremely rare test cases because he experienced it. But by persevering with the problem, the programmer can imagine test cases that might create problem and work for the same much before the problem happens.
We are programming in real life at many places. At our work, in our kitchen, with our family and friends. Most of the time we struggle because we missed one important point that comes and haunts us back. With programming, you will force yourself to slowdown. Think through the problem inside out. Those who think logically in these these places will progress faster and more easily.
There are downsides too but they are not logically valid downsides. Like overthinking, laziness and unwanted negative biases. These are there whether you one thinks through the problem or not. Problem solving is more profitable than thinking that solving the problem might lead to new problems. (You see illogic in our biases and negative thinking)
When you ask the question, whether it is Logical? Then your brain automatically compartmentalises the problems that you have and the problem you are working on. Have a great time gaining problem solving skills."
2,https://www.quora.com/Why-is-Google-s-YouTube-increasing-a-number-of-ads-shown-per-each-video-and-what-is-your-opinion/answer/Kamal-Raj-17,80,–,www.quora.com,Why-is-Google-s-YouTube-increasing-a-number-of-ads-shown-per-each-video-and-what-is-your-opinion,"The services provided are slowly trending towards a business model were people don't need to pay. Youtube, Facebook and Amazon are the pioneers. How the service provider will earn and get cash? He resorts to giving away the data, and providing ads. Even OTT providers are thinking about streaming ads.
What if one does not want to watch ads??
Then download the videos of youtube using the python API called Pytube. You can use Kaggle platform to run python scripts and get the youtube files. All it takes is 5 lines of code in you notepad and connection to internet.
In case of pytube, you can download the audio and video seperately. There is lot of information that you can learn from youtube videos thru that library. Ranging from the number of videos the challel has, the views, likes, the author detail. Really a information treasure.
Solution is one of the three
Think how you can contribute to the community. Whether, Youtube or any other service. That is a major recuirement. New ideas are necessary to move the soceity to the next level of development.
Have a great time."
3,https://www.quora.com/How-much-mathematics-is-enough-to-start-learning-how-machine-learning-algorithms-work/answer/Kamal-Raj-17,32,–,www.quora.com,How-much-mathematics-is-enough-to-start-learning-how-machine-learning-algorithms-work,"ML algorithms are conceptually simple, and their underlying math and logic requires higher secondary level math training. Math in ML is not that difficult, and there is no fixed quantity of math that needs to be mastered. Lets take the basic ML algorithm, Linear Regression.
The model created by regression algorithm will be like below equation. Only 2 dimensions are considered. In ML, this dimension goes in range of 10s to even 100s. The idea will remain same. The equation itself can be shown using Python’s Sympy library.
Now for what value of ‘x’ the above model(equation) will have minimum output?
Sympy library can help to plot the graph for us visualise
We can see the there is local minimum values and a global minimum value. One of the algorithm to find these values is Gradient Descent. Linear regression uses gradient descent algorithm to find the value of X so that the loss is minimum. It is called “minimizing the loss”.
Example of visualisation in 3D space. The equation to generate this curve is simple.
Much of the ML and AI models do this “Loss Reduction” at various levels of complexity, in multiple dimensions.. GD algorithm is explained in school level Algebra. You can even implement that in python in simple way once you understand the steps required. This level of math is pre-requisite to those interested in Machine Learning.
Why am I telling this?
When you go into uncharted territory, you better know to use the tools at your disposal. Know them inside out. Math is Swiss Army knife in the forest of AI and ML. Knife is sharp and looks dangerous however we have to learn by using it.
First we cut soft fruits like mango and apple, then move to more hard fruits like water melon and even coconut.
Same way, we have to learn the Math through the visualisation, and theory to effectively master ML and its algorithm. Let the higher levels of Math be abstracted by the scientists, but at the usage level Math needs to be learnt.
Back to GD. Gradient descent algorithm finds the global minimum of the loss function. In order to use ML, we don’t need to know how GD algorithm is implement. The ML libraries abstract that and give us an interface or API to get solution. When the solution is calculated the math knowledge can support in checking if the solution makes sense.
If there is any doubt whether Math can be mastered, then start with simple problems and solve them. There is Project Euler, a platform where you can attempt simple to very complex math problems. There are many online competitive programming judges that provide you challenges and you can write program. The online testing platform will help to check your code."
4,https://www.quora.com/How-can-I-learn-problem-solving-techniques-for-programming/answer/Kamal-Raj-17,17,–,www.quora.com,How-can-I-learn-problem-solving-techniques-for-programming,"This secret is not even considered as a secret by best problem solvers in this world. To us, who are newly entering the world of problem solving, software engineering and coding this secret is vey very important.
The Secret
One has to read a lot of solutions to many different problems. (Read on, before you decide to use this strategy)
Lets take the world’s top coder, and how he would have started solving problems at very young age. Whatever his level of genius might be, he has to still look at the answer to know whether he solved the problem correctly. This means, the top coders started reading the solutions, AFTER SOLVING THE PROBLEMS themselves before long time. Here is a ROAD MAP one such Genius coder’s evolution.
Zero Problems Solved:
Our yet to be Genius coder lets call him Top Coder, is last in the line thinking about climbing the ladder of problem solving, competitive programming. The usual process is to take different courses like Data Structures, Programming Language and even problem solving before the first problem is solved. This is fine for learning the programming language at the surface level. Top coder aces it within 2 weeks, by practicing the simple problems provided by the introductory book on the programming language.
50 Problems Solved:
The process continues, top coder solves the problems. No choice. But as a noob, it is very important he practices with simplest problems, and gain confidence. Once he starts gaining confidence more challenging problems are taken up. This is where most of the would be TOP CODERS drop off. Our Top Coder is not one of these dropouts. He regularly bunks work or school to solve the problems. Even at school / work he is thinking about the problem. He has the list of problems he wants to solve with him always… That is his level of determination…
51st problem being attempted
The problem chosen can be very high in complexity or it might need new concept that a layman cannot find out through trial error. When this happens, our Top Coder as beginner looks at the solution and learns from it. He then searches for similar problems, and applies the learning with slight variations.
He learns to come up with good test cases and starts sharpening his solutions so all the test cases are passing. Modular programming becomes his mantra. The notepads are filled up, and new refill pens are purchased. The next couple of problems might be partially solved, and other problems can be a road block and doesn’t allow him to progress. He pushes on forward and onwards
75 Solutions read : 60 problems solved:
This is the situation where learning curve of Top Coder is becoming steeper. Brain which is untrained till date, gets chance to make some new connections. The problems solved increases at slower rate. Top coder has already finished 3 books on various problem solving techniques, and another 6 or 8 is left. The time he spends on solving the problems increases from 30 ~ 60 mins to 3 hours. The days start flying without any break or his knowledge.
150 solutions read : 100 problems solved: (Re Solve with different Programming Language)
That is a milestone in Top Coder journey of becoming The Problem Solver. He has solved 100 problems all by himself, and he has read additional 50 problem’s solution. Now he “Re - Solves” some random problems that he had read the solutions in the past, as well as those problems that he solved himself. The top coder does this by learning a different programming language and hones his skills. He gets 2 things done with one activity. Efficient
150 Problems solved : Algorithm design & Efficiencies:
Over 250 to 300 solutions has been read and understood. Many of the notes taken is safely tucked in his repo or some note keeping software. Notes are ready for him to search. Now the problems are complex enough that multiple problems needs to be solved in certain sequence to achieve the results. More like chaining. This is when the design of new algorithms comes in. Efficiency in programming is the time taken by the program to run. The pros call it Big O notation. Top Coder learns about it at this stage, and even find algorithms that have better efficiencies.
Intermediate and Beyond:
More than 450 problems, read, understood and solved. Our Top Coder is at the intermediate levels. More like getting “Blue Belt” in Karate terms. Black Belt needs more training, additional practice and lot more involvement in finding solutions. Here on there will be NO READING THE SOLUTION AT ANY COST. This constraint will push the limits of Top Coder’s capabilities. He understands himself, and starts solving problems in his own style.
500 to 600 Problems solved:
Let us imagine for a moment you are that Top Coder, and you are at this stage. How will you feel? What will be your confidence level. What kind of challenges you might take up next? This has to be the goal of the Top Problem solver. It is a journey that has end only when your consciousness stops to exist. Enjoy every step of the journey. See you on the other side."
5,https://www.quora.com/How-is-web-crawling-used-in-data-science-1/answer/Kamal-Raj-17,11,–,www.quora.com,How-is-web-crawling-used-in-data-science-1,"This is where it starts.
Data Science starts with Data, and that data comes from the web. On web there are many services,online platforms, social networks and companies that bring people together. These people generate data by interacting, and creating.
The Science and Target area
Data science is science of these interactions, and the modeling of them to predict the future. This is where web crawling comes into picture. There are established algorithms that can be used to crawl the web and get the links of interest. After that the page under the link needs to be soraped. We will simply try to get the links of our interests by first targetting a site or domain.
Scraping and parsing
To scrape, the most common libraries ar Selenium, Beautiful soup, Requests and PhantomJS. There are specific parsers neceseeary to get the data in the form the next libraries can use. Notable parsers are, libxml, htmlparsers.
Traversing the Tree
The webpage is a tree with data at the leaf. The page has many tags and these tags have attributes. Xpath is preferred framework to traverse this tree and get the data. The browsers offer this xpath traversing option in the settings. Selenium, and BS support Xpath.
Storing the data
Dataset and SQLite library are very useful when it comes to storing the data to sql databases. The data is stored datatbase files, so they can serialized and stored on harddisks.
Doing Science
We have the data. After that, we can use libraries like Pandas and Numpy to clean the data for modeling. The science and analysis starts earlier as explained above.
Each step has its own problems, libraries that solve it and unique skillset. Skill that is required at all steps is imagination , and problem solving. If these two are mastered, then programming languages and its libraries will take care of the rest"
6,https://www.quora.com/Can-I-become-an-AI-expert-with-online-learning/answer/Kamal-Raj-17,24,–,www.quora.com,Can-I-become-an-AI-expert-with-online-learning,"Yes, you can become an expert at AI if you “learn” the following, irrespective of Online or Offline.
As you see, there is no AI involved to become in expert in AI. AI is a discipline that has been rapidly spreading because it is easy to get hold of data and computing power. Lets take a problem.
The above image is simplest image recognition problem. You give this image to a AI model and ask whether the line is going up or going down? AI model can be trained in such a way to find the line is first going down, and then up.
Let me share the points used in plotting the above curve (0,5), (1,1), (0,2), (1, 3), (2, 4), (5, 5), (10,6)…
How will humans be able find whether the above points are going up / going down / going up and then down or the going down and then up?
Human has no figure, only the set of points. Think for a moment If you want computer to solve, then we should solve first, and the write a program to instruct computer on the solving process.
In order to become expert in AI and not just be one in a million, you need to really understand how the computer works with the data, mathematics, and problem solving. Unlike what many of the online classes are (Andrew Ng’s Youtube Videos and Joel Grus book are exeception) directly jumping into solving the problem using ML / AI models after courtesy introduction about the mathematics and computers. By following that, you can learn to use the data, feed the data to the sophisticated libraries and make final reports. You can still do Data science with Online Courses.
If you are thinking about becoming expert then you have to dive deeper into machinery involved in creating these libraries, and the underlying Math that makes the machinery run. There are resources, good problem solving training books, and very approachable books on mastering programming languages. The key is, the code in these books have to be understood, typed and then executed by yourself. You have to hack the code, and try breaking it to understand.
I started with the naive idea that learning Data Science is simple, and can be mastered with 3 months. Yes, I mastered the libraries. Joined online competition to solve the challenges in Data Science. Then it dawned on me, that it is about programming, mathematics and proficiency in problem solving. Every step of data science, you solve problems. Whether it is visualisation, model generation, model deployment or reporting. (I did not touch about model explainability, that is another interesting area)
Solid Time commitment is required for master the Data Science Machinery and underlying Math. Time allocated for reading problems, solving problems and then writing code has to be the highest. You can learn new concepts and immediately take some real problems and solve it. If not create a fictional one with data and solve it.
Have a great climb to expert level in AI. It is a worthy pursuit. All the very best."
7,https://www.quora.com/How-do-you-control-your-hornyness-when-it-is-not-the-time-to-be-horny/answer/Kamal-Raj-17,7,–,www.quora.com,How-do-you-control-your-hornyness-when-it-is-not-the-time-to-be-horny,"Disclaimer: Use this advice on your own judgement. Depending on your age, and level of maturity the content will either enlighten you, or make you confused.
It is not strange that there is no answer for this question.
The solution to your issue is simple. Masturbate. It is acceptable to Masturbate (With love and care and ensure no damage occurs)
When you are horny, either Testosterone or Estrogen, depending on your gender, are at high levels. These harmones reek havoc in your brain to such extent that, logical thinking collapses on its own weight. The imagery of having intercourse spontaneously gets created. The body starts feeling entirely strange. Voices of your loved ones, and their images flicker past your mind’s eye… Yep, all are the makings of these harmones….
The moment you release the “Rogue Harmones” from the body then the horny-ness vanishes. There goes the science of it. Now for some important things, which are non-sciency.
Depending on your age, the food you had, the people you have spoke with, things you have read and seen, everything affects the harmones that cause you to be horny. So try to learn about your body. Try to enjoy the act. Ensure you are not creating any skin damage in the process.
There are many religious and cultural taboos against Masturbation because, if you flog then you will not want to marry and have kids. If there are no kids then the religion or the culture will die. Be cautious about your belief systems. They are usually illogical.
Will my energy reduce?
There is no link between masturbation and how energetic you are. There are many movies, and books written about celebate priests or monks who abstain from the very act of human nature. None of these high priests or so called heroes discuss about their manly activity in the stories.
Will you become a Homo or Lesbian?
You can become a pro-wrestler or Pro-Pickup artist. It is in your hand. The human body and brains are wired in complicated ways, and this wiring can change as you age. You will still like to be with your opposite sex, have the urge to win, take responsibility and have a great life. More over, your partner will have confidence that, you are “Clean” when he are she comes close to you.
The advantages are really overwhelming. And there is no downside, except that your DNA is being wasted. For females the nature itself removes their egg every 28 days. For men as we are opposite to females, the release is in your own “Hands”. Have a great life ahead."
8,https://www.quora.com/Do-I-need-to-know-maths-to-have-a-skill-in-machine-learning/answer/Kamal-Raj-17,27,1,www.quora.com,Do-I-need-to-know-maths-to-have-a-skill-in-machine-learning,"Math is the language of this universe and the computer processors. If you want the Machine to learn, then only way is through math. There are many libraries that are developed to abstract away the math and let the user focus purely on getting insights, and gleaning wisdom from the data. All these libraries(Bento ML, Pycaret, SciKit Learn, Numpy, Pandas, StatsModel….) will give you garbage out, if you enter garbage in….
Yep. There is no short cut. Learning Math, and Logic is mandatory. However, math or Logic is not difficult if you learn from correct book or teacher with mindset to learn. Lets assume you did not listen to this advice and opened a apparel shop.
IN-SHOP APPAREL RECOMMENDER SYSTEM:
Your shop is prime location, and has good deal of customers around your locality. The customers are in few hundreds, lets assume. You want the shop to be futuristic, and have only limited man power(You believe humans have to design the apparels, and not stand in store waiting for customers). Based on customer past purchases you can do 3 things.
THE PROBLEM
How to build such a recommendation system with your shop’s customer data?
You decide to purchase a recommender system. The recommender system that you purchased has just the basic functionality. There is a python library called Surprise, that can be used after learning from data and recommend. The recommender system just takes the data into the Library, then it gets ready to recommend apparels to your customer. You are surprised!!!
In your store, you have a camera which is used to identify the customer who has entered the store (Deep learning Computer vision model) and then automatically triggers the recommender program. On the wall there is a display which shows and vocalizes
“”” Welcome Back <Customer Name> ^_^”””
and then proceeds to recommend some of the apparels the customer might like, on the store display. Customer is surprised to be welcomed by SHOP and even to be suggested apparels!!!. Customer starts walking around the shop, and browses the materials. Lets assume for fun, the customer is a pregnant women and she is looking for some loose fitting cloth. Her age is 28. Now the joke starts…
The Shop display starts showing some tight jeans, and skinny T shirts that are trendy among the 28 year young females. The recommender system that is developed without the knowledge of Maths / Coding, and how to incorporate new information into the data, cannot consider the fact that the customer is “PREGNANT”. Recommender system cannot logically find that pregnant women cannot use tight jeans. Recommendation fails!!! Customer leaves your SHOP, ANGRY and Nostalgic about her care free days… Not a pretty outcome.
“””This case of wrong recommendations continues with new variants for another 10 customers”””
By that time, you realize the recommender system is junk because is not getting the data to recommend accurately. So, you decide learn about the data inside it and how it works. The code for the recommender system is directly downloaded from the product website. So you visit the website. There you find their code repository open for the users to review, modify and learn…. (This is the future, so get ready)
The LOGIC Correction
The code is written in languages that are popular for such systems, Python, R and frontend is written in Javascript and HTML Libraries. When you read the code, you realize the level of math that is being used is rather basic. There are clear comments about why some function is being called, and what is the logic behind the function. Bit more complicated functions are directly imported from the libraries elsewhere in the internet. The more you read the code, you start getting idea how to improve your recommender system. (Here you realize the impact of math and logic)
Your WITTY RECOMMENDER
After some 10 hours of working, you have coded some additional logic into the recommender system and sent it to the code reviewer to check it. The reviewer finds some issues and suggests to edit the logic. Another 5 hours or so this goes back and forth and finally your recommender system is ready. When you deploy the system, based on your shop’s customer the recommender works and the customers are kept engaged, and delighted. You even made your recommender witty, by making it to tell jokes about the recommender systems that suggest tight jeans for pregnant ladies….
So math is very important, and understanding libraries at a deeper logic level will give you more power, and creativity. There are couple of books that introduces doing math with programming language. Search “Doing Math with Python / R/ Javascript” in Google, you will find countless books. Learn the concepts, and understand how to program math to computers. The code in the books that you choose, needs to be typed by yourself and executed to understand. Then you can fluently learn about the libraries that do the real Machine learning.
Have a great time learning. Reachout to google, stackexchange or here for clarifying and researching your doubts."
9,https://www.quora.com/How-do-you-apply-neural-networks-to-your-social-relationship/answer/Kamal-Raj-17,23,–,www.quora.com,How-do-you-apply-neural-networks-to-your-social-relationship,"Neural networks can be applied for classifying your social network and understand some unique behaviours in them. NN does the modelling of your networks differently.
Neural nets can help you to analyse the data in many dimension, even the dimension your “gut feeling” will consider and your brain cannot. Our brain is strictly rooted in the present 3D world. It is difficult for it to visualise higher dimensions and try categorising things as per these dimensions. Try thinking of a problem that is time and space dependent, it becomes very difficult visualise without practice.
For example, If I ask you, why you like people with green eyes, or face with a particular shape or voice of particular pitch for that matter(Remember that irritating voice that makes you angry or restless). Your brain cannot answer, since there is no numerical rating for these characteristics. Brain cannot create a model. But neural nets can take these into account and model your social networks. I am only scratching the surface of what can be done.
There are other simple math relations you can find using Network Analysis. Here neural nets are not involved.
I had the same question that you asked before 12 months, and I started learning neural nets very deeply. Recent advances in Neural nets are very fascinating. If you don't understand, then it will feel like magic. There are huge libraries of programs that support modelling the social networks and other kind of networks. Please research and learn about it."
