id,url,entry_url,company,Market_Cap,EPS,PtoE,Book_value,PtoB
1,https://www.moneycontrol.com/company-facts/3mindia/management/MI42,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,3mindia,"28,185",198.99,125.73,"1,695.80",14.76
2,https://www.moneycontrol.com/company-facts/aartidrugs/management/AD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,aartidrugs,"4,653",22.79,22.05,98.58,5.10
3,https://www.moneycontrol.com/company-facts/aartiindustries/management/AI45,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45,aartiindustries,"36,714",17.72,57.16,82.70,12.25
4,https://www.moneycontrol.com/company-facts/aavasfinanciers/management/AF17,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17,aavasfinanciers,"24,579",41.03,75.89,304.22,10.24
5,https://www.moneycontrol.com/company-facts/adityabirlacapital/management/ABC9,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9,adityabirlacapital,"29,550",5.56,22.00,63.03,1.95
6,https://www.moneycontrol.com/company-facts/abbindia/management/ABB,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB,abbindia,"48,466",0.00,--,122.77,18.63
7,https://www.moneycontrol.com/company-facts/abbottindia/management/AI51,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,abbottindia,"34,297",0.00,--,--,0.00
8,https://www.moneycontrol.com/company-facts/acc/management/ACC06,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,acc,"43,802",109.41,21.32,676.41,3.45
9,https://www.moneycontrol.com/company-facts/adanienterprises/management/AE13,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,adanienterprises,"192,126",9.23,189.26,171.94,10.16
10,https://www.moneycontrol.com/company-facts/adaniportsspecialeconomiczone/management/MPS,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,adaniportsspecialeconomiczone,"150,834",25.09,29.44,158.70,4.66
11,https://www.moneycontrol.com/company-facts/adanipower/management/AP11,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11,adanipower,"41,655",-0.59,--,1.29,83.73
12,https://www.moneycontrol.com/company-facts/adanitotalgas/management/ADG01,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01,adanitotalgas,"205,076",5.37,347.23,17.58,106.07
13,https://www.moneycontrol.com/company-facts/adanitransmission/management/AT22,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22,adanitransmission,"218,521",12.20,162.86,65.40,30.39
14,https://www.moneycontrol.com/company-facts/adityabirlafashionretail/management/PFR,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,adityabirlafashionretail,"27,240",-4.70,--,29.72,10.27
15,https://www.moneycontrol.com/company-facts/advancedenzymetechnologies/management/AET,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,advancedenzymetechnologies,"3,553",12.80,24.83,91.97,3.46
16,https://www.moneycontrol.com/company-facts/aegislogistics/management/AL9,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,aegislogistics,"7,208",8.48,24.22,58.28,3.53
17,https://www.moneycontrol.com/company-facts/aiaengineering/management/AIE01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01,aiaengineering,"18,429",59.25,32.98,450.92,4.34
18,https://www.moneycontrol.com/company-facts/ajantapharma/management/AP22,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,ajantapharma,"18,837",81.54,26.70,346.16,6.29
19,https://www.moneycontrol.com/company-facts/akzonobelindia/management/ICI,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI,akzonobelindia,"8,781",64.39,29.94,282.64,6.83
20,https://www.moneycontrol.com/company-facts/alembicpharmaceuticals/management/AP35,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,alembicpharmaceuticals,"14,983",43.53,17.51,257.78,2.96
21,https://www.moneycontrol.com/company-facts/alkemlaboratories/management/AL05,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,alkemlaboratories,"42,174",142.46,24.76,632.03,5.59
22,https://www.moneycontrol.com/company-facts/alkylamineschemicals/management/AAC,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC,alkylamineschemicals,"17,136",39.40,85.16,104.70,32.05
23,https://www.moneycontrol.com/company-facts/allcargologistics/management/AGL02,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,allcargologistics,"8,378",16.81,20.29,106.43,3.21
24,https://www.moneycontrol.com/company-facts/alokindustries/management/AI54,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/alokindustries/AI54,alokindustries,"14,945",-1.37,--,-35.56,0.00
25,https://www.moneycontrol.com/company-facts/amararajabatteries/management/ARB,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB,amararajabatteries,"10,690",38.14,16.41,246.47,2.54
26,https://www.moneycontrol.com/company-facts/amberenterprisesindialimited/management/AEI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01,amberenterprisesindialimited,"11,802",36.28,96.55,486.92,7.20
27,https://www.moneycontrol.com/company-facts/ambujacements/management/AC18,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,ambujacements,"75,534",16.23,23.44,146.54,2.60
28,https://www.moneycontrol.com/company-facts/anupamrasayanindia/management/ARI02,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/anupamrasayanindia/ARI02,anupamrasayanindia,"10,101",11.17,90.24,157.04,6.42
29,https://www.moneycontrol.com/company-facts/aplapollotubes/management/BT09,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09,aplapollotubes,"21,812",20.53,42.48,73.14,11.93
30,https://www.moneycontrol.com/company-facts/apollohospitalsenterprises/management/AHE,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,apollohospitalsenterprises,"64,876",72.01,62.66,333.57,13.53
31,https://www.moneycontrol.com/company-facts/apollotyres/management/AT14,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,apollotyres,"13,921",16.26,13.48,180.18,1.22
32,https://www.moneycontrol.com/company-facts/asahiindiaglass/management/AIG01,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01,asahiindiaglass,"13,530",12.40,44.89,58.56,9.51
33,https://www.moneycontrol.com/company-facts/ashokleyland/management/AL,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,ashokleyland,"38,294",-0.04,--,31.10,4.20
34,https://www.moneycontrol.com/company-facts/ashokabuildcon/management/AB,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,ashokabuildcon,"2,800",13.93,7.16,29.58,3.38
35,https://www.moneycontrol.com/company-facts/asianpaints/management/AP31,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,asianpaints,"306,584",31.61,101.12,137.92,23.18
36,https://www.moneycontrol.com/company-facts/asterdmhealthcareltd/management/ADH,https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH,asterdmhealthcareltd,"9,388",6.99,26.89,76.81,2.45
37,https://www.moneycontrol.com/company-facts/astrallimited/management/APT02,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02,astrallimited,"43,839",25.53,85.46,95.33,22.89
38,https://www.moneycontrol.com/company-facts/astrazenecapharma/management/AZP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,astrazenecapharma,"6,998",0.00,--,--,0.00
39,https://www.moneycontrol.com/company-facts/atul/management/A06,https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06,atul,"28,983",217.34,45.07,"1,303.65",7.52
40,https://www.moneycontrol.com/company-facts/ausmallfinancebank/management/ASF02,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02,ausmallfinancebank,"42,270",0.00,--,84.05,16.03
41,https://www.moneycontrol.com/company-facts/aurobindopharma/management/AP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,aurobindopharma,"38,525",89.00,7.39,374.25,1.76
42,https://www.moneycontrol.com/company-facts/avantifeeds/management/AF21,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,avantifeeds,"8,160",18.66,32.10,146.03,4.11
43,https://www.moneycontrol.com/company-facts/avenuesupermarts/management/AS19,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,avenuesupermarts,"273,724",22.84,185.01,188.09,22.47
44,https://www.moneycontrol.com/company-facts/axisbank/management/AB16,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,axisbank,"239,873",41.21,18.97,338.25,2.32
45,https://www.moneycontrol.com/company-facts/bajajauto/management/BA10,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10,bajajauto,"102,275",213.95,16.52,942.52,3.75
46,https://www.moneycontrol.com/company-facts/bajajconsumercare/management/BC02,https://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02,bajajconsumercare,"2,720",14.06,13.11,51.25,3.60
47,https://www.moneycontrol.com/company-facts/bajajelectricals/management/BE,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,bajajelectricals,"13,938",16.92,71.75,139.77,8.69
48,https://www.moneycontrol.com/company-facts/bajajfinance/management/BAF,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF,bajajfinance,"423,397",98.66,71.10,606.63,11.57
49,https://www.moneycontrol.com/company-facts/bajajfinserv/management/BF04,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,bajajfinserv,"253,090",263.28,60.41,"3,663.12",4.35
50,https://www.moneycontrol.com/company-facts/bajajholdingsinvestment/management/BHI,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,bajajholdingsinvestment,"58,145",350.36,14.91,"3,964.08",1.32
51,https://www.moneycontrol.com/company-facts/balajiamines/management/BA05,https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05,balajiamines,"10,671",101.73,32.37,280.83,11.73
52,https://www.moneycontrol.com/company-facts/balkrishnaindustries/management/BI03,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,balkrishnaindustries,"46,273",73.80,32.43,310.36,7.72
53,https://www.moneycontrol.com/company-facts/balrampurchinimills/management/BCM,https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM,balrampurchinimills,"8,676",20.70,20.54,128.34,3.32
54,https://www.moneycontrol.com/company-facts/bandhanbank/management/BB09,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09,bandhanbank,"51,423",0.00,--,--,0.00
55,https://www.moneycontrol.com/company-facts/bankofbaroda/management/BOB,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB,bankofbaroda,"54,894",7.51,14.13,160.16,0.67
56,https://www.moneycontrol.com/company-facts/bankofindia/management/BOI,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI,bankofindia,"22,590",6.10,9.02,113.03,0.49
57,https://www.moneycontrol.com/company-facts/bankmaharashtra/management/BM05,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05,bankmaharashtra,"13,831",1.44,14.27,16.80,1.23
58,https://www.moneycontrol.com/company-facts/basfindia/management/BAS,https://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS,basfindia,"13,343",0.00,--,--,0.00
59,https://www.moneycontrol.com/company-facts/bataindia/management/BI01,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,bataindia,"26,022",1.84,"1,100.35",136.79,14.81
60,https://www.moneycontrol.com/company-facts/bayercropscience/management/BC12,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12,bayercropscience,"22,846",0.00,--,--,0.00
61,https://www.moneycontrol.com/company-facts/beml/management/BEM03,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03,beml,"7,491",24.52,73.36,531.67,3.39
62,https://www.moneycontrol.com/company-facts/bergerpaintsindia/management/BPI02,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02,bergerpaintsindia,"71,077",8.68,84.30,34.84,21.01
63,https://www.moneycontrol.com/company-facts/bharatdynamicsltd/management/BDL01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatdynamicsltd/BDL01,bharatdynamicsltd,"9,011",0.00,--,--,0.00
64,https://www.moneycontrol.com/company-facts/bharatelectronics/management/BE03,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,bharatelectronics,"50,535",9.42,22.02,45.45,4.57
65,https://www.moneycontrol.com/company-facts/bharatforge/management/BF03,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03,bharatforge,"34,835",9.09,82.31,116.99,6.40
66,https://www.moneycontrol.com/company-facts/bhartiairtel/management/BA08,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08,bhartiairtel,"404,192",5.42,133.40,191.88,3.77
67,https://www.moneycontrol.com/company-facts/bharatheavyelectricals/management/BHE,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,bharatheavyelectricals,"20,823",-4.32,--,74.59,0.81
68,https://www.moneycontrol.com/company-facts/biocon/management/BL03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,biocon,"45,161",5.52,68.14,70.06,5.37
69,https://www.moneycontrol.com/company-facts/birlacorporation/management/BC07,https://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07,birlacorporation,"10,743",81.14,17.19,712.42,1.96
70,https://www.moneycontrol.com/company-facts/birlasoft/management/KPI02,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/birlasoft/KPI02,birlasoft,"13,158",15.42,30.61,78.21,6.04
71,https://www.moneycontrol.com/company-facts/bluedartexpress/management/BDE,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,bluedartexpress,"16,128",129.44,52.51,249.46,27.25
72,https://www.moneycontrol.com/company-facts/bluestar/management/BS,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,bluestar,"8,382",15.44,56.37,92.18,9.45
73,https://www.moneycontrol.com/company-facts/bombayburmahtradingcorporation/management/BBT,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT,bombayburmahtradingcorporation,"7,770",57.46,19.38,"1,040.08",1.08
74,https://www.moneycontrol.com/company-facts/bosch/management/B05,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05,bosch,"49,620",440.72,38.17,"3,327.12",5.06
75,https://www.moneycontrol.com/company-facts/bharatpetroleumcorporation/management/BPC,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,bharatpetroleumcorporation,"82,182",82.70,4.58,243.29,1.56
76,https://www.moneycontrol.com/company-facts/brigadeenterprises/management/BE08,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08,brigadeenterprises,"11,547",-0.20,--,107.52,4.67
77,https://www.moneycontrol.com/company-facts/brightcomgroup/management/LGS,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/brightcomgroup/LGS,brightcomgroup,"20,366",7.02,24.55,32.61,5.29
78,https://www.moneycontrol.com/company-facts/britanniaindustries/management/BI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,britanniaindustries,"88,076",66.17,55.26,147.63,24.77
79,https://www.moneycontrol.com/company-facts/cadilahealthcare/management/CHC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,cadilahealthcare,"41,636",46.84,8.68,145.83,2.79
